"id";"titulo";"area";"categoria";"palavras_busca";"situacao";"como_agir";"roteiro_acoes";"comunicacao_familia";"alerta";"publicado";"fonte"
"oficial-11";"Protocolo de postura";"Pedagógico";"Proteção e conduta";"postura, ética, uniforme, comportamento, colaborador";"validado";"Reúne orientações de postura profissional, ética e conduta da equipe no ambiente escolar.";"Confirme qual conduta ou situação precisa ser tratada e registre fatos objetivos. | Converse em ambiente reservado, com respeito e sem exposição pública do colaborador. | Reforce a expectativa de postura, ética, linguagem, apresentação e confidencialidade. | Defina a correção esperada, o responsável pelo acompanhamento e o prazo. | Escale reincidências ou situações graves para a direção e o RH, preservando os registros.";"";"";"sim";"2.0-PROTOCOLO POSTURA E ÉTICA.docx"
"oficial-12";"Protocolo lista de alunos e capacidade";"Pedagógico";"Gestão da unidade";"lista, capacidade, lotação, chamada, vagas";"validado";"Orienta a atualização da lista de alunos e o controle de capacidade e vagas da unidade.";"Atualize a lista oficial de alunos por turma e período. | Confira matrículas, cancelamentos, transições e crianças em adaptação. | Compare o total com a capacidade física e operacional validada da unidade. | Verifique se o número de profissionais mantém o atendimento seguro. | Antes de abrir nova vaga, obtenha a confirmação da coordenação responsável. | Registre divergências e corrija a base oficial antes de comunicar disponibilidade.";"";"";"sim";"2.2-Protocolo Lista de alunos X Capacidade.docx"
"oficial-13";"Protocolo de planejamento";"Pedagógico";"Rotina pedagógica";"planejamento, quinzena, atividade, entrega";"validado";"Define o planejamento como norteador do trabalho pedagógico e organiza sua entrega e supervisão.";"Consulte os objetivos da turma e observe as necessidades atuais do grupo. | Defina atividade, campo de experiência, objetivo, metodologia, materiais e local. | Planeje a dinâmica e o registro da aprendizagem, mantendo flexibilidade para o ritmo da turma. | Entregue o planejamento na data definida para supervisão da coordenação. | Ajuste o documento após a devolutiva e organize previamente os materiais. | Registre situações excepcionais e o que precisa ser retomado no próximo ciclo.";"";"";"sim";"3.0-PROTOCOLO PLANEJAMENTO .docx"
"oficial-14";"Protocolo de avaliação diagnóstica";"Pedagógico";"Rotina pedagógica";"avaliação, diagnóstica, aprendizagem, dificuldade";"validado";"Orienta o mapeamento de habilidades e dificuldades sem finalidade classificatória.";"Defina quais habilidades serão observadas e em quais situações da rotina. | Observe cada criança em diferentes momentos, sem transformar a atividade em prova. | Registre evidências objetivas, evitando rótulos e comparações entre crianças. | Analise avanços, necessidades e estratégias pedagógicas possíveis. | Converse com a coordenação antes de comunicar dificuldades à família. | Use os resultados para ajustar o planejamento e acompanhe a evolução.";"Olá, [nome do responsável]. Gostaríamos de conversar sobre observações feitas durante o acompanhamento pedagógico da criança. Nossa equipe registra evidências ao longo da rotina para entender avanços e necessidades, sempre em conjunto com a coordenação, sem rótulos ou comparações. Queremos alinhar com você as estratégias que podem apoiar o desenvolvimento nesta fase. Ficamos à disposição para marcar uma conversa.";"";"sim";"3.1-PROTOCOLO AVALIACAO DIAGNOSTICA.docx"
"oficial-15";"Protocolo da rotina do berçário";"Pedagógico";"Cuidado e convivência";"berçário, bebê, sono, mamadeira, troca";"revisao";"Organiza cuidados, sono, alimentação, higiene e segurança do berçário. Partes técnicas requerem revisão periódica.";"Confira a escala, os registros individuais e as orientações vigentes de cada bebê. | Prepare o ambiente de sono, alimentação, troca e exploração com segurança. | Siga a rotina individual, mantendo supervisão contínua e higiene entre atendimentos. | Registre alimentação, sono, trocas, sinais observados e intercorrências. | Comunique imediatamente à coordenação qualquer sinal de mal-estar ou risco. | Faça a passagem de informações à família somente pelos canais institucionais.";"Olá, [nome do responsável]. Compartilhamos as informações do dia do bebê na escola: alimentação, sono, trocas e observações da rotina, registradas pela equipe do berçário. Qualquer sinal de mal-estar é comunicado imediatamente à coordenação e, quando necessário, a você. Estamos à disposição pelo canal institucional para qualquer dúvida sobre os cuidados.";"";"sim";"3.2-PROTOCOLO DE ROTINA DO BERÇÁRIO.docx"
"oficial-16";"Protocolo de cumprimento de rotina";"Pedagógico";"Rotina pedagógica";"rotina, horário, organização, atividades";"validado";"Reforça a organização temporal do dia e a previsibilidade como elementos de segurança e aprendizagem.";"Revise a rotina diária e distribua responsabilidades antes do início do período. | Prepare ambientes e materiais com antecedência. | Mantenha os horários como referência, adaptando-os às necessidades reais das crianças. | Avise a coordenação quando uma intercorrência exigir mudança relevante. | Registre o que não foi realizado e reorganize o planejamento. | Ao final do dia, confirme pendências, comunicação às famílias e preparação do próximo período.";"";"";"sim";"3.3-PROTOCOLO DE ROTINA.docx"
"oficial-17";"Protocolo de agenda";"Pedagógico";"Comunicação e privacidade";"agenda, ClassApp, recado, mensagem, comunicação";"revisao";"Orienta a comunicação diária com as famílias. Menções a medicamentos devem seguir a política técnica atualizada.";"Registre somente informações necessárias, objetivas e respeitosas sobre o dia da criança. | Revise nomes, horários e destinatários antes de enviar. | Use o canal institucional e nunca misture informações de crianças diferentes. | Em ocorrências sensíveis, converse primeiro com a coordenação. | Não inclua diagnóstico, dose ou orientação médica sem fluxo formal validado. | Confirme mensagens pendentes e arquive os registros conforme a política da unidade.";"Olá, [nome do responsável]. Segue o registro do dia da criança na escola, com as informações necessárias sobre a rotina. Qualquer ocorrência mais sensível é conversada primeiro com a coordenação antes de chegar até você, e assuntos de saúde seguem sempre o fluxo formal validado. Estamos à disposição pelo canal institucional para esclarecer qualquer ponto da agenda.";"";"sim";"3.4-PROTOCOLO AGENDA.docx"
"oficial-18";"Protocolo de relatórios";"Pedagógico";"Rotina pedagógica";"relatório, desenvolvimento, parecer, registro";"validado";"Define dimensões cognitivas, sociais e de desenvolvimento que devem orientar os relatórios.";"Reúna registros do período e exemplos concretos de aprendizagem e convivência. | Organize o texto por dimensões de desenvolvimento previstas para a turma. | Descreva avanços e desafios sem rótulos, diagnósticos ou comparações. | Indique estratégias pedagógicas já realizadas e próximos objetivos. | Submeta o relatório à revisão da coordenação. | Só compartilhe a versão validada pelo canal institucional.";"Olá, [nome do responsável]. Segue o relatório de desenvolvimento da criança referente ao período, já revisado pela coordenação. Nele você encontra avanços, desafios observados e os próximos objetivos pedagógicos, sem rótulos ou comparações com outras crianças. Estamos à disposição para conversar sobre qualquer ponto do relatório.";"";"sim";"4.0-PROTOCOLO DE RELATÓRIO.docx"
"oficial-19";"Protocolo dos objetivos das turmas";"Pedagógico";"Desenvolvimento infantil";"objetivos, turma, maternal, faixa etária";"validado";"Organiza os objetivos gerais e específicos por turma e etapa de desenvolvimento.";"Confirme a turma, a faixa etária e o documento de objetivos vigente. | Selecione objetivos adequados ao momento do grupo e às necessidades individuais. | Relacione cada objetivo ao planejamento e às experiências propostas. | Observe evidências ao longo da rotina e registre a evolução. | Revise periodicamente as estratégias com a coordenação. | Comunique às famílias de forma clara, sem prometer resultados padronizados.";"Olá, [nome do responsável]. Gostaríamos de compartilhar os objetivos pedagógicos definidos para a turma da criança nesta etapa. Eles orientam o planejamento e as experiências propostas no dia a dia, considerando o ritmo do grupo e as necessidades individuais, sem promessas de resultados padronizados. Estamos à disposição para conversar sobre o desenvolvimento da criança.";"";"sim";"4.1-PROTOCOLO DOS OBJETIVOS DA TURMA.docx"
"oficial-20";"Protocolo de alfabetização";"Pedagógico";"Desenvolvimento infantil";"alfabetização, leitura, escrita, fônico";"validado";"Apresenta os princípios e o método adotado pelo Fadelito para alfabetização.";"Confirme os objetivos previstos para a etapa e o material adotado pela rede. | Planeje experiências de linguagem oral, consciência fonológica, leitura e escrita. | Apresente propostas lúdicas e graduais, respeitando diferentes ritmos. | Observe estratégias e hipóteses das crianças, sem constrangimento ou comparação. | Registre avanços e ajuste as intervenções com a coordenação. | Converse com a família usando evidências pedagógicas e orientações validadas.";"Olá, [nome do responsável]. Gostaríamos de compartilhar como está o processo de alfabetização da criança, com base nas evidências pedagógicas observadas pela equipe. As propostas respeitam o ritmo individual, sem comparações ou constrangimento, e são ajustadas com a coordenação sempre que necessário. Ficamos à disposição para conversar sobre o método e a evolução até aqui.";"";"sim";"5.0-PROTOCOLO DE ALFABETIZAÇÃO .docx"
"oficial-21";"Protocolo Baby Learning";"Pedagógico";"Desenvolvimento infantil";"baby learning, bebê, desenvolvimento, estímulo";"revisao";"Apresenta o programa multidisciplinar de desenvolvimento dos bebês. Credenciais e contatos devem ser atualizados.";"Consulte a versão atual do programa e os objetivos previstos para o grupo. | Prepare o espaço e os materiais adequados à idade e ao desenvolvimento dos bebês. | Realize as propostas com supervisão próxima e respeito aos sinais individuais. | Interrompa qualquer atividade diante de desconforto ou risco. | Registre a resposta dos bebês e compartilhe com a coordenação. | Ajuste a continuidade somente após validação da equipe pedagógica.";"Olá, [nome do responsável]. Gostaríamos de compartilhar como o bebê tem respondido às propostas do programa Baby Learning nesta etapa. A equipe conduz as atividades com supervisão próxima, respeitando os sinais individuais e interrompendo qualquer proposta diante de desconforto. Os resultados observados são compartilhados com a coordenação antes de qualquer ajuste na continuidade. Estamos à disposição para conversar sobre o desenvolvimento do bebê no programa.";"";"sim";"5.1-PROTOCOLO BABY LEARNING.docx"
"oficial-22";"Protocolo de férias da Rede Fadelito";"Pedagógico";"Gestão da unidade";"férias, escala, ausência, equipe";"validado";"Orienta o cronograma e a cobertura da equipe durante os períodos de férias.";"Levante ausências previstas e necessidades mínimas de cobertura por setor. | Monte a escala sem comprometer segurança, supervisão e atendimento às famílias. | Valide datas e substituições com a liderança responsável. | Comunique individualmente os períodos aprovados e registre a ciência. | Prepare a passagem de tarefas, acessos e pendências antes do afastamento. | Revise a escala diante de mudanças e mantenha uma versão oficial atualizada.";"";"";"sim";"6.0-PROTOCOLO DE FERIAS PEDAGOGICO.docx"
"oficial-23";"Protocolo de transição para o minimaternal";"Pedagógico";"Desenvolvimento infantil";"transição, minimaternal, mini maternal, mudança de turma";"validado";"Organiza a preparação da criança e da família para a mudança de turma e rotina.";"Avalie com a coordenação os sinais de prontidão para a mudança de turma. | Planeje aproximações graduais com o novo ambiente, educadores e rotina. | Compartilhe informações relevantes entre as equipes, preservando a privacidade. | Comunique à família os objetivos e como a transição acontecerá. | Observe a criança nos primeiros dias e registre sua adaptação. | Reavalie o ritmo e ofereça apoio adicional quando necessário.";"Olá, [nome do responsável]. Gostaríamos de conversar sobre a transição da criança para o minimaternal. A coordenação já avaliou os sinais de prontidão e vamos planejar juntos uma aproximação gradual ao novo ambiente, aos novos educadores e à nova rotina. Acompanharemos de perto os primeiros dias e ajustaremos o ritmo conforme a necessidade da criança. Estamos à disposição para alinhar os próximos passos com você.";"";"sim";"6.1-PROTOCOLO DE TRANSIÇAO DO BERÇARIO PARA O MINI.docx"
"oficial-24";"Protocolo de manutenção de aluno";"Em comum";"Família e acolhimento";"manutenção, retenção, insatisfação, responsável";"validado";"Reforça o contato próximo com as famílias e a agilidade no retorno a dúvidas ou insatisfações.";"Mantenha presença ativa nos horários de entrada e saída e escute as famílias. | Identifique rapidamente sinais de insatisfação, afastamento ou risco de cancelamento. | Registre a demanda e dê retorno inicial pelo canal institucional. | Defina responsável, solução possível e prazo realista para conclusão. | Acompanhe o combinado até o fechamento e confirme a satisfação da família. | Leve padrões recorrentes à reunião de gestão para correção de causa.";"Olá, [nome do responsável]. Recebemos sua manifestação e queremos entender melhor como podemos ajudar. Registramos a demanda e já definimos um responsável e um prazo para retornarmos com uma solução pelo canal institucional. Sua satisfação é importante para nós e vamos acompanhar o combinado até a conclusão.";"";"sim";"6.2- PROTOCOLO DE MANUTENÇÃO DE ALUNOS.docx"
"oficial-25";"Protocolo de faltas e atrasos da equipe";"Pedagógico";"Gestão da unidade";"atraso, falta de funcionário, colaborador, escala";"validado";"Orienta a comunicação de ausências e a reorganização da equipe para preservar a segurança dos alunos.";"Receba a comunicação e registre horário, motivo e função afetada. | Reorganize a cobertura imediatamente, preservando a proporção e a segurança das turmas. | Informe a liderança e o setor responsável conforme o fluxo vigente. | Não discuta detalhes pessoais do colaborador com a equipe ou famílias. | Atualize ponto, escala e documentos pelos canais oficiais. | Analise reincidências com RH e direção, sem tomar decisões trabalhistas pela demonstração.";"";"";"sim";"7.0-PROTOCOLO FALTAS E ATRASOS.docx"
"oficial-26";"Protocolo de festa de aniversário";"Pedagógico";"Família e acolhimento";"aniversário, festa, bolo, comemoração";"validado";"Orienta a organização das comemorações de aniversário na escola.";"Confirme com a família a data, o formato permitido e as restrições da unidade. | Verifique autorizações, alergias e regras alimentares antes de aceitar itens. | Organize horário e espaço sem prejudicar a rotina pedagógica. | Evite exposição de crianças sem autorização de imagem. | Acompanhe a distribuição dos itens e preserve a higiene. | Registre a realização e devolva pertences conforme o combinado.";"Olá, [nome do responsável]. Vamos combinar os detalhes da comemoração de aniversário da criança na escola: data, formato permitido e restrições da unidade. Pedimos que confirme alergias e regras alimentares antes do envio de qualquer item, e lembramos que a exposição de imagens segue apenas as autorizações já registradas. Ficamos à disposição para alinhar horário e espaço com você.";"";"sim";"8.3-PROTOCOLO DE ANIVERSÁRIO.docx"
"oficial-27";"Protocolo de organização da mochila";"Pedagógico";"Cuidado e convivência";"mochila, pertences, roupa, organização";"validado";"Orienta o cuidado, a identificação e a organização dos pertences das crianças.";"Confira a identificação da mochila e dos pertences. | Separe itens limpos, usados, alimentação e materiais de higiene conforme a rotina. | Registre faltas, trocas ou itens que precisam ser repostos. | Nunca coloque materiais potencialmente contaminados junto a itens limpos. | Revise a mochila antes da saída para evitar trocas entre crianças. | Comunique a família de forma objetiva pelo canal institucional.";"Olá, [nome do responsável]. Ao organizar a mochila da criança, identificamos uma pendência de item, troca ou reposição para a rotina. Pedimos a gentileza de conferir e providenciar o necessário antes da próxima aula. Qualquer dúvida sobre o que falta, estamos à disposição pelo canal institucional.";"";"sim";"9.0-PROTOCOLO DE ORGANIZAÇAO DE MOCHILA.docx"
"oficial-28";"Protocolo para escovação";"Pedagógico";"Cuidado e convivência";"escovação, dente, escova, higiene bucal";"revisao";"Organiza a rotina de higiene bucal. A técnica e as recomendações de saúde devem ser validadas periodicamente.";"Confirme a identificação individual de escova e demais materiais. | Organize pequenos grupos e supervisão suficiente para evitar trocas. | Higienize as mãos e prepare o espaço conforme a orientação vigente. | Conduza a escovação de forma educativa, sem forçar a criança. | Guarde os itens separados e em condições de higiene. | Interrompa e consulte a coordenação diante de sangramento, dor ou outra intercorrência.";"";"";"sim";"9.1-PROTOCOLO DE ESCOVAÇAO.docx"
"oficial-29";"Protocolo de reunião pedagógica";"Pedagógico";"Gestão da unidade";"reunião, pedagógica, alinhamento, equipe";"validado";"Define objetivos de alinhamento, planejamento, solução de problemas e formação da equipe.";"Defina previamente o tema pedagógico, os objetivos e quem conduzirá o encontro. | Reúna registros ou situações concretas que ajudem a discussão. | Mantenha a pauta focada em prática pedagógica, formação e protocolos. | Distribua tempo para estudo, troca de experiências e encaminhamentos. | Registre decisões, responsáveis e prazos. | Acompanhe os combinados na reunião seguinte.";"";"";"sim";"9.3-EVOLUIR 2019.docx"
"oficial-30";"Protocolo de webinar";"Em comum";"Gestão da unidade";"webinar, treinamento, formação, vídeo";"validado";"Organiza encontros curtos de formação e discussão dos protocolos da rede.";"Organize um calendário de temas alinhado aos eventos e prioridades da rede. | Defina expositor, objetivo e material de apoio para cada encontro. | Reserve tempo curto para exposição e discussão prática. | Registre presença, dúvidas e decisões que precisam de validação. | Disponibilize a gravação ou síntese pelos canais institucionais. | Confirme como o conteúdo será multiplicado nas unidades.";"";"";"sim";"10-PROTOCOLO WEBINAR.docx"
"oficial-31";"Protocolo de prevenção contra Covid-19";"Em comum";"Saúde e segurança";"covid, coronavírus, álcool, máscara";"revisao";"Documento histórico. Não deve orientar decisões atuais antes de revisão técnica e atualização formal.";"Não aplique automaticamente as regras do documento histórico. | Consulte a política sanitária vigente e as orientações atuais da direção. | Mantenha as práticas permanentes de higiene e não compartilhamento de itens pessoais. | Diante de sintomas, siga o protocolo atual de saúde e comunicação com a família. | Registre a ocorrência sem divulgar diagnóstico ou dados pessoais. | Substitua este conteúdo quando a rede aprovar uma versão atualizada.";"";"Conteúdo possivelmente desatualizado. Consulte a política sanitária vigente da escola.";"sim";"-PROTOCOLO DE CUIDADOS DE PREVENÇÃO CONTRA O COVID.docx"
"oficial-32";"Planejamento pedagógico — estrutura detalhada";"Pedagógico";"Rotina pedagógica";"planejamento, campos de experiência, metodologia, materiais, quinzena";"validado";"Detalha a estrutura do planejamento quinzenal: objetivos, campos de experiência, dinâmica, registro, materiais, local e comunicação do dia.";"Consulte os objetivos da turma e as observações atuais do grupo. | Preencha atividade dirigida, campo de experiência, objetivo, metodologia, materiais e local. | Descreva a dinâmica que despertará o interesse e o registro que finalizará a experiência. | Organize também atividades lúdicas, extras e observações do recado do dia. | Entregue no calendário definido e aguarde a supervisão da coordenação. | Corrija a versão e solicite materiais com antecedência.";"";"";"sim";"PROTOCOLO PLANEJAMENTO.docx"
"oficial-33";"Protocolo de rematrícula — fonte inconsistente";"Pedagógico";"Gestão da unidade";"rematrícula, renovação, contrato, vaga";"revisao";"O arquivo identificado como rematrícula contém, na prática, um trecho sobre escovação. Ele foi catalogado para correção, mas não oferece orientação segura de rematrícula.";"Não utilize esse arquivo para orientar uma rematrícula. | Confirme com a direção qual é a versão correta e vigente do protocolo. | Localize o documento oficial de renovação, prazos, valores e responsáveis. | Substitua a fonte inconsistente no repositório oficial. | Somente após validação, publique o novo roteiro no Assistente Fadelito.";"";"Inconsistência documental: título e conteúdo não correspondem.";"sim";"10.3-PROTOCOLO DE REMATRÍCULA.docx"
